MOVIE_ID,MOVIE_TITLE,RELEASE_YEAR,RELEASE_DATE
5,"Four Rooms",1995,1995-12-09
6,"Judgment Night",1993,1993-10-15
11,"Star Wars",1977,1977-05-25
12,"Finding Nemo",2003,2003-05-30
13,"Forrest Gump",1994,1994-06-23
14,"American Beauty",1999,1999-09-15
16,"Dancer in the Dark",2000,2000-06-30
18,"The Fifth Element",1997,1997-05-02
20,"My Life Without Me",2003,2003-03-07
22,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,2003-07-09
24,"Kill Bill: Vol. 1",2003,2003-10-10
25,Jarhead,2005,2005-11-04
26,"Walk on Water",2004,2004-02-05
27,"9 Songs",2004,2004-07-16
28,"Apocalypse Now",1979,1979-08-15
33,Unforgiven,1992,1992-08-07
35,"The Simpsons Movie",2007,2007-07-25
38,"Eternal Sunshine of the Spotless Mind",2004,2004-03-19
55,"Amores Perros",2000,2000-06-16
58,"Pirates of the Caribbean: Dead Man's Chest",2006,2006-07-06
59,"A History of Violence",2005,2005-09-23
63,"Twelve Monkeys",1995,1995-12-29
65,"8 Mile",2002,2002-11-08
66,"Absolute Power",1997,1997-02-14
67,"Paradise Now",2005,2005-09-07
68,Brazil,1985,1985-02-20
69,"Walk the Line",2005,2005-09-13
70,"Million Dollar Baby",2004,2004-12-15
71,"Billy Elliot",2000,2000-09-28
73,"American History X",1998,1998-07-01
74,"War of the Worlds",2005,2005-06-28
75,"Mars Attacks!",1996,1996-12-12
76,"Before Sunrise",1995,1995-01-27
77,Memento,2000,2000-10-11
78,"Blade Runner",1982,1982-06-25
79,Hero,2002,2002-07-22
80,"Before Sunset",2004,2004-02-10
81,"Nausicaä of the Valley of the Wind",1984,1984-03-11
82,"Miami Vice",2006,2006-07-27
83,"Open Water",2003,2003-10-26
85,"Raiders of the Lost Ark",1981,1981-06-12
87,"Indiana Jones and the Temple of Doom",1984,1984-05-23
88,"Dirty Dancing",1987,1987-08-21
89,"Indiana Jones and the Last Crusade",1989,1989-05-24
90,"Beverly Hills Cop",1984,1984-12-05
95,Armageddon,1998,1998-07-01
96,"Beverly Hills Cop II",1987,1987-05-18
97,Tron,1982,1982-07-09
98,Gladiator,2000,2000-05-04
99,"All About My Mother",1999,1999-04-16
100,"Lock, Stock and Two Smoking Barrels",1998,1998-08-28
101,"Léon: The Professional",1994,1994-09-14
104,"Run Lola Run",1998,1998-03-03
105,"Back to the Future",1985,1985-07-03
106,Predator,1987,1987-06-12
107,Snatch,2000,2000-09-01
111,Scarface,1983,1983-12-09
112,"Italian for Beginners",2000,2000-12-07
114,"Pretty Woman",1990,1990-03-23
115,"The Big Lebowski",1998,1998-03-06
116,"Match Point",2005,2005-10-26
117,"The Untouchables",1987,1987-06-03
118,"Charlie and the Chocolate Factory",2005,2005-07-13
120,"The Lord of the Rings: The Fellowship of the Ring",2001,2001-12-18
121,"The Lord of the Rings: The Two Towers",2002,2002-12-18
122,"The Lord of the Rings: The Return of the King",2003,2003-12-01
123,"The Lord of the Rings",1978,1978-11-15
128,"Princess Mononoke",1997,1997-07-12
129,"Spirited Away",2001,2001-07-20
134,"O Brother, Where Art Thou?",2000,2000-08-30
137,"Groundhog Day",1993,1993-02-11
140,"Bad Education",2004,2004-03-19
141,"Donnie Darko",2001,2001-10-24
142,"Brokeback Mountain",2005,2005-09-10
144,"Wings of Desire",1987,1987-05-17
146,"Crouching Tiger, Hidden Dragon",2000,2000-07-06
149,Akira,1988,1988-07-16
150,"48 Hrs.",1982,1982-12-07
152,"Star Trek: The Motion Picture",1979,1979-12-07
153,"Lost in Translation",2003,2003-09-18
154,"Star Trek II: The Wrath of Khan",1982,1982-06-04
155,"The Dark Knight",2008,2008-07-14
157,"Star Trek III: The Search for Spock",1984,1984-06-01
161,"Ocean's Eleven",2001,2001-12-07
162,"Edward Scissorhands",1990,1990-12-05
163,"Ocean's Twelve",2004,2004-12-09
165,"Back to the Future Part II",1989,1989-11-22
167,K-PAX,2001,2001-10-22
168,"Star Trek IV: The Voyage Home",1986,1986-11-26
169,"Predator 2",1990,1990-11-20
170,"28 Days Later",2002,2002-10-31
172,"Star Trek V: The Final Frontier",1989,1989-06-09
174,"Star Trek VI: The Undiscovered Country",1991,1991-12-06
176,Saw,2004,2004-10-01
177,"The Fisher King",1991,1991-09-20
178,"Blown Away",1994,1994-07-01
179,"The Interpreter",2005,2005-04-08
180,"Minority Report",2002,2002-06-20
182,"The Good German",2006,2006-12-08
183,"The Wizard",1989,1989-12-15
184,"Jackie Brown",1997,1997-12-25
186,"Lucky Number Slevin",2006,2006-02-24
187,"Sin City",2005,2005-04-01
189,"Sin City: A Dame to Kill For",2014,2014-08-20
192,"The Name of the Rose",1986,1986-09-24
193,"Star Trek: Generations",1994,1994-11-18
194,Amélie,2001,2001-04-25
196,"Back to the Future Part III",1990,1990-05-25
197,Braveheart,1995,1995-05-24
199,"Star Trek: First Contact",1996,1996-11-22
200,"Star Trek: Insurrection",1998,1998-12-11
201,"Star Trek: Nemesis",2002,2002-12-13
205,"Hotel Rwanda",2004,2004-03-04
207,"Dead Poets Society",1989,1989-06-02
214,"Saw III",2006,2006-10-27
215,"Saw II",2005,2005-10-28
217,"Indiana Jones and the Kingdom of the Crystal Skull",2008,2008-05-21
218,"The Terminator",1984,1984-10-26
219,Volver,2006,2006-03-17
226,"Boys Don't Cry",1999,1999-09-02
227,"The Outsiders",1983,1983-03-25
231,Syriana,2005,2005-11-23
232,"Rumble Fish",1983,1983-10-20
235,"Stand by Me",1986,1986-08-08
236,"Muriel's Wedding",1994,1994-09-29
237,"Young Adam",2003,2003-09-26
241,"Natural Born Killers",1994,1994-08-25
242,"The Godfather Part III",1990,1990-12-25
243,"High Fidelity",2000,2000-03-17
245,"About a Boy",2002,2002-04-26
