ID,Rating,Tomatometer,Weighted_Score,Audience_Score,Awards,Nominations
5,R,13,31,69,NULL,NULL
6,R,35,41,54,NULL,NULL
11,PG-13,52,63,86,NULL,NULL
12,G,99,94,86,1,4
13,PG-13,71,79,95,6,13
14,R,87,89,93,5,8
16,R,69,76,91,NULL,NULL
18,PG-13,71,76,86,NULL,NULL
20,R,65,72,87,NULL,NULL
22,PG-13,80,82,86,NULL,NULL
24,R,85,83,81,NULL,NULL
25,R,61,63,68,NULL,NULL
27,,24,26,32,NULL,NULL
28,R,98,96,94,2,8
33,,94,88,77,NULL,NULL
35,PG-13,87,83,77,NULL,NULL
38,R,92,92,94,1,2
58,PG-13,53,59,72,NULL,NULL
59,R,87,83,76,NULL,NULL
63,R,88,88,88,NULL,NULL
65,R,75,68,54,1,1
66,R,56,54,52,NULL,NULL
67,PG-13,89,88,87,NULL,NULL
68,R,98,95,90,NULL,NULL
69,PG-13,82,84,90,1,5
70,PG-13,90,90,90,4,7
71,R,85,86,89,NULL,NULL
73,R,84,88,96,NULL,NULL
74,PG-13,17,26,45,NULL,NULL
75,PG-13,56,54,53,NULL,NULL
76,R,100,97,93,NULL,NULL
77,R,93,93,94,NULL,NULL
78,R,88,87,86,2,5
80,R,94,93,92,NULL,NULL
82,R,47,45,43,NULL,NULL
83,R,25,21,15,NULL,NULL
85,PG,93,94,96,"4 (1)",8
87,PG-13,84,87,94,1,3
88,TVPG,19,24,36,NULL,NULL
89,PG-13,84,87,94,1,3
90,R,11,19,35,NULL,NULL
95,PG-13,38,49,73,NULL,NULL
96,R,46,49,57,NULL,NULL
97,PG,72,71,69,NULL,NULL
98,R,80,82,87,5,12
100,R,75,81,93,NULL,NULL
101,R,74,81,95,NULL,NULL
105,PG,80,79,78,NULL,NULL
106,R,80,82,87,NULL,NULL
107,R,74,80,93,NULL,NULL
111,R,79,83,93,NULL,NULL
114,R,64,65,68,NULL,NULL
115,R,79,83,93,NULL,NULL
116,R,77,78,81,NULL,NULL
117,R,82,84,89,1,4
118,PG,83,72,51,NULL,NULL
120,PG-13,91,92,95,4,13
121,PG-13,95,95,95,2,6
122,PG-13,93,90,86,11,11
123,PG-13,93,90,86,11,11
134,PG-13,79,82,89,NULL,NULL
137,PG,94,92,88,NULL,NULL
141,,100,96,91,NULL,NULL
142,R,88,86,82,3,8
150,R,92,84,69,NULL,NULL
152,G,53,49,42,NULL,NULL
153,R,95,91,85,1,4
154,PG,86,87,90,NULL,NULL
155,PG-13,87,88,90,NULL,NULL
157,PG,78,73,65,NULL,NULL
161,PG-13,83,82,80,NULL,NULL
162,PG-13,89,89,91,NULL,NULL
163,PG-13,55,56,60,NULL,NULL
165,PG,63,70,85,NULL,NULL
167,PG-13,42,52,74,NULL,NULL
168,PG,82,81,81,NULL,NULL
169,R,31,35,44,NULL,NULL
170,R,87,86,85,NULL,NULL
172,PG,22,22,24,NULL,NULL
174,PG,83,83,84,NULL,NULL
176,R,50,61,84,NULL,NULL
177,R,84,84,85,1,5
178,R,39,39,40,NULL,NULL
180,PG-13,90,86,80,NULL,NULL
182,R,34,33,33,NULL,NULL
183,TVMA,73,69,63,NULL,NULL
184,R,87,86,85,NULL,NULL
186,R,51,63,87,NULL,NULL
187,R,76,76,78,NULL,NULL
189,R,43,43,44,NULL,NULL
